name,latitude,longitude,Hotel_Name
Kilian Stuba,47.34858,10.17114,Ferienwohnungen Braun
Pfefferschiff,47.83787,13.07917,Ferienhaus Essl-Redecsy
Esszimmer,47.80685,13.034089999999999,Exerzitienhaus
Carpe Diem,47.80001,13.04006,arthotel blaue gans salzburg
Edvard,48.216503,16.36852,Palais Hansen Kempinski Vienna
Das Loft,48.212720000000004,16.37931,فندق سوفيتيل فيينا
Pramerl & the Wolf,48.20945,16.37174,Kleine Weihnachtsgeschenke
Walter Bauer,48.20923,16.376720000000002,Imperial Apartment Schönbrunn
SHIKI,48.204066999999995,16.37098,Exceptional Apartment AP
Tian,48.20513,16.37456,Airo Hotelbetriebs GmbH
aend,48.18957,16.34115,Appartement
Le Ciel by Toni Mörwald,48.202090000000005,16.371560000000002,The Ring Hotel
Chez TJ,37.39468,-122.08044,Роберт Миллер
Protégé,37.427853000000006,-122.14362,Coronet Motel
Madera,37.42014,-122.21151,Rosewood Sand Hill
The Village Pub,37.42897,-122.25178000000001,Pioneer Hotel
Plumed Horse,37.256479999999996,-122.03537,Saratoga Oaks Lodge
Wakuriya,37.52114,-122.3366,Littledots
Sushi Yoshizumi,37.565075,-122.3211,Vendome Hotel
Rasa,37.577521999999995,-122.34598500000001,One Ten Park Road Condos
Maum,37.726690000000005,-122.41421499999998,SFC Crashpad
Al's Place,37.748924,-122.42013,Marriot Marquis
Aster,37.755054,-122.423134,Pico strategy’s
Omakase,37.77077,-122.40298,Moradmonfis
Commonwealth,37.761395,-122.41946000000002,Tides Center-Dish
Luce,37.781940000000006,-122.40498000000001,"InterContinental San Francisco, an IHG Hotel"
Birdsong,37.779495000000004,-122.41048,Good Hotel
In Situ,37.785633000000004,-122.40113000000001,The St. Regis San Francisco
Mourad,37.78695,-122.39986999999999,St. Regis Loading Dock Entrance
Hashiri,37.783062,-122.40754,The Pickwick Hotel
Angler,37.793167,-122.39213000000001,Hotel Griffon
Rich Table,37.774914,-122.42271000000001,Sonder — Hayes Valley
Kin Khao,37.785267,-122.40951000000001,Hilton Towers Mason Street entrance
Michael Mina,37.793490000000006,-122.399574,hotel intercontinel
Sons & Daughters,37.79037,-122.40916999999999,Cornell Hotel De France
Mister Jiu's,37.79371,-122.406654,Hoy Fung
Nico,37.795803,-122.40333000000001,Prestige Resorts
jū-ni,37.776720000000005,-122.43886,The Crowe House
Keiko à Nob Hill,37.793106,-122.41445,Priest
The Progress,37.78371,-122.43281999999999,Group Desk
State Bird Provisions,37.783737,-122.43283000000001,Group Desk
Octavia,37.787857,-122.42708999999999,Queen Anne Hotel
SPQR,37.78732,-122.43375,Kimpton Buchanan Hotel
Lord Stanley,37.79592,-122.42208000000001,Broadway Hotel
Kinjo,37.79699,-122.422005,Broadway Manor Inn
Sorrel,37.788334000000006,-122.44613999999999,Grand Lady Victorian
Gary Danko,37.80599,-122.42066000000001,San Francisco on the wharf
Bar Crenn,37.798435,-122.43581,The gula place
Spruce,37.78772,-122.45263999999999,Ashley Lavander
Wako,37.783035,-122.461525,The Enchanting Place
Madcap,37.974712,-122.56168000000001,Yellow Emperor Sanctuary
Aubergine,36.55406,-121.924355,L'Auberge Carmel
Kenzo,38.299240000000005,-122.28928,Archer Hotel Napa
La Toque,38.303509999999996,-122.28348999999999,The Westin Verasa Napa
Bouchon,38.40258,-122.3619,Petit Logis Inn
Auberge du Soleil,38.49199,-122.40534,Auberge du Soleil
Farmhouse Inn & Restaurant,38.490390000000005,-122.8835,Farmhouse Inn
The Kitchen,38.58894,-121.41423999999999,Arden Star Hotel
Madrona Manor,38.604279999999996,-122.88646999999999,The Madrona - Opening Late 2021
Harbor House,39.135876,-123.719444,Harbor House Inn
Shin Sushi,34.15784,-118.49415,Nubone Inn
Rustic Canyon,34.024952,-118.49118,Good Shepherd Health Care
Dialogue,34.01679,-118.49748000000001,Spa
Kato,34.041683,-118.46091499999999,"Rochester Property Group, LLC"
CUT,34.067036,-118.40102399999999,Hotel de Pretty Woman
Nozawa Bar,34.0683,-118.39849,The Maybourne Beverly Hills
Shunji,34.028496000000004,-118.45195,Unit B
Maude,34.064346,-118.39903999999999,Tomoko Japanese Spa
Mori Sushi,34.033398,-118.44228999999999,TLofts
Trois Mec,34.084255,-118.33851000000001,Eden Terrace LA
Osteria Mozza,34.083420000000004,-118.338974,Eden Terrace LA
Kali,34.083443,-118.32455,Rodeway Inn Near Melrose Ave
Le Comptoir,34.06354,-118.30057,Hotel Normandie LA
Q Sushi,34.046883,-118.255844,NoMad Los Angeles
Shibumi,34.044154999999996,-118.256134,Freehand Los Angeles
Hayato,34.03311,-118.24265,Sea&Anchor
Bistro Na's,34.104411999999996,-118.07158999999999,Kary高大姐
Orsa & Winston,33.92145,-118.275406,Sharespace-Gardena
Taco María,33.69475,-117.92496499999999,La Quinta Inn by Wyndham Costa Mesa Orange County
Hana re,33.67759,-117.88656599999999,Burba Hotel Network
Addison,32.939903,-117.20013,Villas At Grand Del Mar
Parachute,41.944829999999996,-87.70638000000001,Karen's Garden Bungalow
Goosefoot,41.96856,-87.69596,Stylish Vintage Redstone
Elizabeth,41.969555,-87.68873599999999,Apartment
EL Ideas,41.863,-87.68686,Baba Pita - Middle Eastern Scratch Kitchen and Bakery
Band of Bohemia,41.967308,-87.67477,Log Inn LLC
Schwa,41.908879999999996,-87.66792,Superior Studios
Temporis,41.898907,-87.66725,Granger’s
Entente,41.93721,-87.6652,Lakeview Executive Suites
Elske,41.884426,-87.66071,The Publishing House Bed and Breakfast
Dusek's (Board & Beer),41.857853000000006,-87.65756999999999,Pilsen Roadhouse
Roister,41.886658000000004,-87.65187,Chateau de Addison
Boka,41.91363,-87.64806,Annie's Lincoln Park Bed and Breakfast
Blackbird,41.88423,-87.64356,Homewood Suites by Hilton Chicago Downtown West Loop
Sepia,41.88394,-87.64246999999999,Homewood Suites
North Pond,41.9296,-87.63762,casa el quijote san miguel de allende
Everest,41.87597,-87.63212,The Buckingham Hotel
Topolobampo,41.89047,-87.63085,Hotel CHICAGO
Spiaggia,41.90062,-87.62456999999999,Ski View
Monte,45.08279,13.631167999999999,Casa Dora
Draga di Lovrana,45.275867,14.251401000000001,Hotel Draga di Lovrana
Noel,45.811054,15.988204999999999,ZaGpartments
Pelegrini,43.73603,15.888902999999999,Apartman Obala
360º,42.641563,18.111523000000002,Old Town Port Apartments
Field,50.0919,14.42193,Cozy Studio in The Old Town
La Degustation Bohême Bourgeoise,50.09115,14.42511,Rybna Large Apartment
Gastromé,56.157880000000006,10.20937,Hotel Royal
Domestic,56.158930000000005,10.212132,Iben
Substans,56.15415,10.20372,"Radisson RED Hotel, Aarhus"
Frederikshøj,56.12497,10.208638,Helnan Marselis Hotel
Me‚Mu,55.70901,9.53302,"BB-Hotel Vejle ""Park Hotel"""
Ti Trin Ned,55.566590000000005,9.752689,Baltan
Slotskøkkenet,55.771236,11.390805,Dragsholm Castle
Søllerød Kro,55.81325,12.49548,Holte Wellness & Thaimassage
Jordnær,55.748226,12.541014,Gentofte Hotel
Relæ,55.693233,12.543222,Point A
Kiin Kiin,55.691880000000005,12.55754,M18
formel B,55.67031,12.537980000000001,The Little Guesthouse
Kokkeriet,55.68768000000001,12.58492,The Motel
Clou,55.68342,12.58497,Wake up
Marchal,55.68034,12.58508,Room For Rent
Kong Hans Kælder,55.6787,12.584003,Herman K
Stud!o at The Standard,55.67799,12.59191,Copenhagen Strand
108,55.67785,12.598083500000001,Grethe Hein
Era Ora,55.673004000000006,12.591292,Jens Thomsen Nørrebro
Alouette,55.66265,12.57634,Bryggen Guldsmeden Hotels
Frederiksminde,55.12416999999999,12.04623,Hotel Frederiksminde
Kadeau Bornholm,55.004569999999994,14.969216000000001,Feriekolonien Egilsholm
Ask,60.17236,24.95648,Studio NB
Grön,60.16446,24.93308,Helsinki Homes Apartments
Demo,60.164806000000006,24.941635,Hostel & Apartment Diana Park
Olo,60.16616,24.947704,Hotel Rivoli Jardin Helsinki
Palace,60.16556,24.952560000000002,Boat Hotel in Helsinki
Ora,60.157578,24.942947,Asumo Oy
Botrini's,38.023179999999996,23.793770000000002,Olympic Athens
Varoulko Seaside,37.937378,23.658576999999998,Mikrolimano Luxury Villa
Hytra,37.95818,23.71895,athenaeum gr
