name,url,specialties
Kilian Stuba,https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba,"['Steinbutt in schäumender Butter gebraten, Kaviar, Erdäpfelschaum, Sauerrahm', 'Wachtelbrust mit Petersilie souffliert, Steinpilz-Gnocchi, Zwetschge, Madeiraglace', 'Marille und Mandelmilch, weiße Schokolade, Gebirgsenzian, Mohnsablé, Pistazienöl']"
Pfefferschiff,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff,"['Saibling, Pfirsich, Verbene, Buttermilch', 'Rehrücken, Zwetschke, Topinambur, Kaffee', 'Walnuss, Savarin und Eis, Traube, Akazie, Pastinake']"
Esszimmer,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer,"['Jakobsmuschel und Kaisergranat, Tomate, Gurke', 'Kaninchenrücken und Keule mit Limette, Paprika', 'Gefüllte Schokoblätter mit Mango und Pistazien']"
Carpe Diem,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem,
Edvard,https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard,"['Alpenkaviar, Pinzgauer Rind, Gillardeau Auster', 'Seezunge, Chioggia Beete, Amalfi', 'Kürbis, Opalys, Kurkuma']"
Das Loft,https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft,
Pramerl & the Wolf,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf,"['Jakobsmuschel, Sellerie, grüner Apfel, geräucherte Gänseleber', 'Rehrücken, Rote Rüben, fermentiertes Rotkraut', 'Dunkle Schokolade, Erdnuss']"
Walter Bauer,https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer,"['Gänseleberterrine mit Brioche', 'Rosa gebratener Lammrücken mit Gemüse', 'Kaiserschmarrn mit Zwetschkenröster']"
SHIKI,https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki,"['Variation vom Oktopus', 'In Miso gebeizte Entenbrust', 'Kürbistarte mit Pflaumensabayon und Kürbiskerneis']"
Tian,https://guide.michelin.com/at/en/vienna/wien/restaurant/tian,"['Red Meat, Rote Emma, Radicchio', 'Trüffelpasta', 'Indian Summer, Apfel, Karamell, Tonkabohne']"
aend,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend,"['Saibling und Wacholder', 'Ente und Rosenkohl', 'Apfel und Traube']"
Le Ciel by Toni Mörwald,https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald,"['Artischocke mit Krabbe, Kren und Lardo', 'Kabeljau mit Herzmuschel, Kürbis und Buchweizen', 'Andenbeere mit Dulce, Sanddorn und Ras el Hanout']"
