,name,latitude,longitude,Hotel_Name
0,Amador,48.254059999999996,16.35915,Zum Alten Stadttor
1,Manresa,37.22761,-121.98071000000002,Inspired Leadership Group
2,Benu,37.78521,-122.39876000000001,W San Francisco
3,Quince,37.79762,-122.40337,SnapTravel
4,Atelier Crenn,37.79835,-122.43586,The gula place
5,The French Laundry,38.40443,-122.36474,"Lavender, A Four Sisters Inn"
6,The Restaurant at Meadowood,38.52025,-122.46479,Meadowood Napa Valley
7,SingleThread,38.612164,-122.86970500000001,SingleThread Farm - Restaurant - Inn
8,Alinea,41.91328,-87.64798,Annie's Lincoln Park Bed and Breakfast
9,Geranium,55.70393000000001,12.57197,Andelsboligforeningen Gl. Kongevej 130 A & B
10,T'ang Court,22.296572,114.1698,"The Langham, Hong Kong"
11,Bo Innovation,22.276139999999998,114.171,48-50 Johnston Road
12,Lung King Heen,22.28665,114.15673999999999,PS group_Four Seasons Hotels and Resorts
13,Caprice,22.286645999999998,114.15661999999999,PS group_Four Seasons Hotels and Resorts
14,8½ Otto e Mezzo - Bombana,22.28189,114.15839,더 랜드마크 만다린 호텔
15,L'Atelier de Joël Robuchon,22.281198999999997,114.15816000000001,더 랜드마크 만다린 호텔
16,Sushi Shikon,22.28511,114.15208,The Mercer Hong Kong
17,The Eight,22.190475,113.54341000000001,澳门新葡京酒店
18,Robuchon au Dôme,22.189949,113.54395,Lisboa Hotel
19,Jade Dragon,22.149137,113.56715,City of Dreams
20,Maaemo,59.910477,10.760408,Bjørvika Apartments
21,Masa,40.76855,-73.98335,"Mandarin Oriental, New York"
22,Per Se,40.76828,-73.98292,"Mandarin Oriental, New York"
23,Le Bernardin,40.76177,-73.98223,The Michelangelo New York - Starhotels Collezione
24,Eleven Madison Park,40.7417,-73.98711999999999,The New York EDITION
25,Chef's Table at Brooklyn Fare,40.68872,-73.98581,Ace Hotel Brooklyn
26,La Yeon,37.555813,127.00516999999999,crown park hotel seoul
27,Gaon,37.52265,127.03595,อพาร์ตเมนต์
28,Frantzén,59.33418,18.058120000000002,Scandic No 53
29,Le Palais,25.049495999999998,121.51673999999998,Palais de Chine Hotel
30,The Inn at Little Washington,38.713623,-78.16208,The Loft
31,Fat Duck,51.50828,-0.7023199999999999,Bray Cottages
32,Waterside Inn,51.50773,-0.70121,Tiggers Cottage
33,Alain Ducasse at The Dorchester,51.50712,-0.1525201,The Dorchester
34,The Araki,51.511826,-0.140389,Swiss-Belhotel International
35,Gordon Ramsay,51.485459999999996,-0.1620201,Casa Angela Vicente
