name,latitude,longitude,Hotel_Name
SENNS.Restaurant,47.83636,13.063889999999999,Inovum
Ikarus,47.795359999999995,13.00695,Kärntner Chalets
Mraz & Sohn,48.23129,16.37637,Wohnen im Kapellenhof
Konstantin Filippou,48.21056,16.37996,PuzzleHotel Apartments Postgasse
Silvio Nickol Gourmet Restaurant,48.20558,16.376929999999998,Palais Coburg
Steirereck im Stadtpark,48.202290000000005,16.3805,دندانپزشك
Baumé,37.4285,-122.14272,Coronet Motel
Commis,37.82476,-122.25505,SeniorCareList
Californios,37.75555,-122.41714499999999,DETAILS AND GIFTS IN GUADALAJARA
Lazy Bear,37.760203999999995,-122.41968999999999,Prita Hotel
Saison,37.76327,-122.41543,The Box Factory
Campton Place,37.789229999999996,-122.40665,Taj Campton Place
Coi,37.798120000000004,-122.40331,SnapTravel
Acquerello,37.79167,-122.42131,Palo Alto Hotel
Urasawa,34.067352,-118.40066999999999,Hotel de Pretty Woman
Sushi Ginza Onodera,34.08238,-118.37653999999999,Taz Towers
Somni,34.070095,-118.37648999999999,"SLS Hotel, a Luxury Collection Hotel, Beverly Hills"
Providence,34.083523,-118.33018999999999,Huge Hollywood Penthouse
n/naka,34.025259999999996,-118.41206000000001,Robin Zackery
Vespertine,34.024204,-118.38166000000001,Keaton Asma
Smyth,41.885,-87.660736,The Knot
Oriole,41.886196000000005,-87.64513000000001,The Parker
Acadia,41.85904,-87.62562,Oriental Traditional Medical Center
KOKS,62.136669999999995,-7.022025,Leynavatnssmáttan
Henne Kirkeby Kro,55.72682,8.242021000000001,Henne Kirkeby Kro
a‚o‚c,55.68305,12.589210000000001,Phoenix Copenhagen
noma,55.683319999999995,12.61006,Kaj Hotel
Kadeau Copenhagen,55.67219,12.58848,Homekey
Spondi,37.96525,23.742971,olivia feel at home (Varnava square)
Sun Tung Lok,22.30099,114.17221,カオルーンホテル
Yan Toh Heen,22.293337,114.17395,"InterContinental Hong Kong, an IHG Hotel"
Tin Lung Heen,22.30357,114.16006999999999,"The Ritz-Carlton, Hong Kong"
Tenku RyuGin,22.30331,114.16021,"The Ritz-Carlton, Hong Kong"
Forum,22.281616,114.1824,銅鑼閣
Sushi Saito,22.286467000000002,114.15677,PS group_Four Seasons Hotels and Resorts
Pierre,22.282127,114.15948,"Mandarin Oriental, Hong Kong"
Ying Jee Club,22.284338,114.156654,🥇 SAVVI Office Leasing Hong Kong
Écriture,22.28315,114.1554,The Pottinger Hong Kong
Ta Vie,22.282766,114.15529,The Pottinger Hong Kong
Amber,22.280596,114.15763999999999,Sushi Shikon
Kashiwaya,22.280642999999998,114.15673999999999,Mini Hotel Central
Onyx,47.49712,19.05067,בודפשט מלון
Feng Wei Ju,22.18996,113.54794,Star World Hotel
Golden Flower,22.18753,113.54806,Wynn Macau
Mizumi (Macau),22.188755,113.54488,리스보아로 가는 지하통로
The Tasting Room,22.14958,113.56505,NÜWA 頤居
Alain Ducasse at Morpheus,22.14293,113.563774,連貫公路/巴黎人 站
L'Atelier de Joël Robuchon,40.742905,-74.00769,Liberty Inn
Jungsik,40.718685,-74.00910999999999,VISIONAPARTMENTS New York
Atera,40.716797,-74.00565,Casa Marc
Jean-Georges,40.76907,-73.98155,Trump International Hotel & Tower New York
Marea,40.76749,-73.98114,CROWNE PLAZA HOTEL
Gabriel Kreuther,40.75397,-73.982025,Hilton Garden Inn New York/Tribeca
Ichimura at Uchū,40.721832,-73.99011999999999,Bagnkeys Store Luggage & Exchange Keys
Sushi Ginza Onodera,40.752396000000005,-73.981575,Courtyard by Marriott New York Manhattan/Fifth Avenue
Ko,40.72909,-73.98448,EMPIRE
The Modern,40.76106,-73.97628,Hotel Agustin Plaza
Aquavit,40.76078,-73.97214,L R Global
Daniel,40.7666,-73.96745,The Mayfair
Aska,40.71222,-73.96642,Ross's 公寓
Blanca,40.70492,-73.93354000000001,The Chalet on Autumn Lake
Patrick Guilbaud,53.338930000000005,-6.25283,Unicorn Apartments
Oro,-22.98601,-43.224709999999995,hotel lsh
Tuju,-23.55653,-46.69083,Da.Felipa 406
D.O.M.,-23.56618,-46.66742,hotel bourbom
